product,﻿Collection,Company,Product,Variant,Translations,Unit Cost,Updated At,Inventory Quantity
out-of-stock items that gets re-stocked,,,,,,,,
成功补货的产品,,,,,,,,
,Tofu & Tofu Products,Toronto Northern Food,Toronto Northern Food · Beancurd Sheet (280g),No Variant,丰业 · 干豆腐 (280g),2.5 CAD,2023-11-07T03:23:40Z,0
,Chicken,Unknown,Frozen Premium Chicken Wings (About 1LB/Pack),No Variant,冷冻精选鸡翅 (约1LB//份),N/A,2024-02-16T21:53:30Z,0
,Potato & Yam & Radish,Unknown,Carrot 2LB,No Variant,新鲜胡萝卜 (大约2磅),N/A,2023-12-27T20:31:00Z,1
,Tea & Herbal Drinks,Tea Pi,Tea Pi · Pomelo Green Tea (500ml),No Variant,茶π · 柚子绿茶（500ml）,1.35 CAD,2023-11-08T23:19:40Z,0
,hotpot collection,Shoo Loong Kan,Shoo Loong Kan · Seafood Hotpot Soup Base (158g),No Variant,小龙坎 · 三鲜火锅底料（158g）,2.7 CAD,2023-12-09T10:22:59Z,2
,Weekly Special Fruit,Unknown,Thailand Nam Dok Mai Mango by Air (Each),No Variant,泰国空运水仙芒果 (1 盒),7.0 CAD,2024-02-18T01:21:54Z,0
,Milk Flavoured Drinks,Ambpozial,Ambpozial · Yellow Peach & Oat Greek Yogurt (10*200g),No Variant,"最佳食用期：2024-04-08, 安慕希 · 希腊风味酸奶黄桃+燕麦口味 (10*200g)",N/A,2024-01-16T05:34:28Z,0
,Tofu & Tofu Products,Sunrise,Sunrise · Fresh Smooth Tofu (700g),No Variant,日升 · 鲜豆腐(700g),2.13 CAD,2023-11-07T03:23:05Z,3
,Weekly Special Fruit,Unknown,Vietnamese Red Fleshed Dragon Fruit By Air (1pc),No Variant,越南空运红心火龙果 (1 颗),N/A,2024-02-16T03:12:17Z,0
,Buns & Dim Sum,Wan Chai Ferry,Wan Chai Ferry · Steam Bun Series,Red Bean Paste (350g),"湾仔码头 · 包子系列, 秘制豆沙包",4.0 CAD,2023-11-07T03:23:24Z,0
,Seafood Snacks,Uncle Yu,Uncle Yu · Spicy Squid Fillet (60g),No Variant,渔家翁 · 香辣味鱿鱼片 (60g),N/A,2023-11-07T06:51:27Z,1
,Specialty Noodles,Kyoto,Kyoto · Ramen Series (4*110g),Long Thin,"京都 · 拉面系列 (4*110g), 龙须面",2.0 CAD,2023-12-19T15:28:08Z,0
,Milk Flavoured Drinks,Wahaha,Wahaha · Yogurt Drink (4*100ml),No Variant,娃哈哈 · 乳酸菌饮料 (4*100ml),1.38 CAD,2023-11-05T23:47:41Z,0
