product,﻿Collection,Company,Product,Variant,Translations,Unit Cost,Updated At,Inventory Quantity
out-of-stock items that gets re-stocked,,,,,,,,
成功补货的产品,,,,,,,,
,sauce & pickles,Y&B,Y&B · Fired Seaweed Beancurd Roll (200g),,亿贝 · 海苔响铃卷 (200g),3.5 CAD,2023-12-09T07:44:25Z,0
,Seafood Snacks,Zero,Zero · Garlic Flavor Sea Snail Konjac (100g),,天然零 · 魔芋厚切海螺片蒜香味 (100g),N/A,2024-02-10T19:28:42Z,0
,other sauce,Chuan Nan,Chuan Nan · Dried Radish (330g),,川南 · 下饭萝卜干 (330g),3.0 CAD,2024-03-08T10:21:02Z,0
,Cakes & Pastries,Le Man Fen,Le Man Fen · Egg Yolk Custard Biscuit (220g),,乐满芬 · 蛋黄流心酥 (220g),2.3 CAD,2024-03-23T11:05:21Z,0
,Tomato & Eggplant & Pepper,Unknown,Red Thai Chili 0.2LB,, 指天椒(大约0.2LB),N/A,2023-11-10T16:26:53Z,4
,Buns & Dim Sum,Wan Chai Ferry,Wan Chai Ferry · Frozen Lava Custard Steam Bun (350g),,湾仔码头 · 爆汁流沙包 (350g),4.0 CAD,2023-12-28T23:59:31Z,0
,Frozen Meat & Seafood,DongGanDiDai,DongGanDiDai · Frozen Fish Roe Lucky Bag (300g),,冻感地带 · 鱼籽福袋 (300g),6.1 CAD,2024-02-02T06:12:12Z,0
,Cakes & Pastries,Xiong Yang,Xiong Yang · Cake Series (168g),,熊样 · 软蛋糕系列 (168g),N/A,2024-01-04T05:54:22Z,0
,Weekly Special Fruit,Unknown,Vietnam Young Coconut,,越南吸管椰青,2.67 CAD,2024-03-23T12:21:28Z,0
,Mushroom & Bamboo,Unknown,King Oysters Mushroom (400g),,袋装皇子菇 (400g),N/A,2023-11-02T21:51:11Z,5
,Rice Balls & Rice Cakes,Synear,Synear · Peanut & Proso Millet Rice Ball (454g),,思念 · 大黄米花生汤圆 (454g),2.5 CAD,2024-02-14T04:10:50Z,5
,AVADA - Best Sellers,LuoBaWang,LuoBaWang · River Snails Rice Noodle (280g),,螺霸王 · 螺狮粉 (280g),N/A,2024-01-08T03:45:02Z,0
,Tofu & Tofu Products,Han Han Dou Jiang,Han Han Dou Jiang · Coated Tofu(490g),,憨憨豆匠 · 包浆豆腐 (490g),N/A,2023-12-16T05:10:23Z,0
,Soft Drink & Water,Mizone,Mizone · Orange Flavor (600mL),,脉动 · 橘子味维生素饮料（600ml）,N/A,2023-11-03T00:21:16Z,0
,Bean Curds & Konjac Snacks,LPPZ,LPPZ · Spicy Beef Flavour (108g),,良品铺子 · 麻辣牛肉 (108g),7.0 CAD,2024-03-23T11:34:07Z,4
,Chips,ShangHaoJia,ShangHaoJia · Pea Snack Crisps (55g),,上好佳 · 荷兰豆 (55g),1.5 CAD,2024-01-31T16:00:59Z,0
,Soft Drink & Water,Mizone,Mizone · Peach Flavor (600mL),,脉动 · 水蜜桃维生素饮料（600ml）,N/A,2023-11-03T00:21:18Z,0
,Coffee & Milk Tea,Master Kong,Master Kong · Da Hong Pao Milk Tea (500ml),,康师傅 · 大红袍奶茶 (500ml),1.5 CAD,2023-12-18T23:18:47Z,0
,Tea & Herbal Drinks,Master Kong,Master Kong · Da Hong Pao Black Tea (500ml),,康师傅 · 大红袍红茶 (500ml),1.5 CAD,2023-12-18T23:21:27Z,1
,Weekly Special,Master Kong,Master Kong · Dry Instant Beef Noodle Series (135g),,康师傅 · 干拌面系列 (135g),2.3 CAD,2024-01-31T08:45:29Z,4
,AVADA - Best Sellers,Master Kong,Master Kong · Scallion Pork Ribs Instant Noodle (5*104g),,康师傅 · 葱香排骨面量贩装 (5*104g),N/A,2024-03-22T01:06:08Z,0
,Asian Herbs & Dried Foods,Merilin,Merilin · DongBei Black Fungus (200g),,Merilin · 压缩型东北黑木耳 (200g),N/A,2024-01-27T15:59:54Z,5
,Frozen Meat & Seafood,SiWin,SiWin · Garlic Sausage (375g),,喜旺 · 蒜香台式香肠 (375g),5.5 CAD,2023-12-28T23:46:09Z,0
,hotpot collection,CBC,CBC · Beef Blade Roll (box),,焯记 · 特级牛肉卷 (盒),12.0 CAD,2023-12-27T20:31:13Z,5
,Chips,Lay's,Lay's · Crispy Roasted Suckling Pig Flavour Chips (60g),,乐事 · 脆皮烤乳猪味薯片春季限定款 (60g),1.8 CAD,2024-03-23T10:35:09Z,0
,Milk Flavoured Drinks,De Yuan,De Yuan · Yogurt Sour Plum Drink (318ml),,德元 · 益生菌酸梅汤 (318ml),1.8 CAD,2023-12-27T20:56:14Z,1
,AVADA - Best Sellers,LuoXiaoJiang,LuoXiaoJiang · Classic River Snails Rice Noodle(315g),,,2.5 CAD,2024-02-24T06:47:28Z,5
,AVADA - Best Sellers,Master Kong,Master Kong · Hot & Sour Beef Instant Noodles (5*117g),,康师傅 · 、老陈醋酸辣牛肉面量贩装 (5*117g),3.5 CAD,2024-03-22T01:00:39Z,3
,Dumplings & Wontons,Synear,Synear · Handmade Dumpling Series (454g),,思念 · 手打天下系列(454g),5.7 CAD,2024-02-25T16:17:20Z,2
,Rice Crackers,Want Want,Want Want · Black Pepper Flavor Golden Rice Crackers (60g),,旺旺 · 小小酥黑胡椒味 (60g),1.3 CAD,2024-02-04T23:55:31Z,0
,hot sauce & chili oil,Hong Fan Tian,Hong Fan Tian · Minced Garlic & Pepper Sauce (700g),,红翻天 · 蒜蓉剁椒酱 (700g),N/A,2023-11-04T01:44:58Z,5
,Jelly & Dried Fruits,YLYS,YLYS · Freeze Dried Mango (58g),,有零有食 · 冻干芒果 (58g),4.5 CAD,2024-01-26T15:23:37Z,0
,AVADA - Best Sellers,Wu Jiang,Wu Jiang · Delicate Fragrance Preserved Pickle (4*80g),,乌江 · 清香榨菜 (4*80g),2.0 CAD,2024-02-25T20:59:39Z,0
,Chips,Lay’s,Lay’s · Grilled Squid Flavor Big Wave Potato Chips (70g),,乐事 · 铁板鱿鱼味大波浪薯片 (60g),N/A,2023-10-31T23:04:03Z,0
,Weekly Special Fruit,Unknown,Ozblu Blueberry Product of Mexico 312g/Pack,,,4.5 CAD,2024-03-25T23:50:02Z,0
,Asian Herbs & Dried Foods,SNHB,SNHB · TongJiang Dried White Fungus (100g),,山南海北 · 通江银耳 (100g),3.0 CAD,2024-01-26T14:47:18Z,4
,hot sauce & chili oil,Lao Gan Ma,Lao Gan Ma · Spicy Chili Crips (210g),,老干妈 · 香辣脆油辣椒（210g）,N/A,2023-11-04T01:44:19Z,5
,AVADA - Best Sellers,Haday,Haday ·  Hot Soybean Paste (800g),,海天 · 辣黄豆酱 (800g),4.0 CAD,2024-01-31T08:31:20Z,5
,Weekly Special Fruit,Unknown,Sichuan Sweet Loquat 300g/pack,,四川早春枇杷 300g/盒,6.0 CAD,2024-04-06T03:46:54Z,0
,Self-Heating Meals,Mo Xiao Xian,Mo Xiao Xian · Beef With Bamboo Shoots Clay Pot Flavor Self-Heating Pot (275g),,莫小仙 · 笋尖嫩牛味煲仔饭自热饭 (275g),6.0 CAD,2023-12-08T20:10:26Z,3
,Weekly Special Fruit,Unknown,Cotton Candy Grapes From Chile By Air. $5.99/LB (About 2LB/Bag),,,N/A,2024-04-12T03:39:08Z,2
,hotpot collection,Crown,Crown · Imitation Snow Crab Legs (500g),,皇冠 · 蟹棒 (500g),N/A,2023-12-27T20:45:36Z,2
,Rice Balls & Rice Cakes,Anjoy,Anjoy · Frozen Rice Ball (250g),,"汤圆&年糕, 安井· 酒酿小圆子 (250g)",N/A,2024-01-13T11:14:11Z,5
,Biscuits & Cookies,Weijue,Weijue · Cheese Thin Pancakes (300g),,味觉 · 芝士薄饼 (300g),2.5 CAD,2023-12-18T23:14:47Z,0
,Specialty Noodles,Guang You,Guang You · Spicy Flavor Wide Noodle (4*100g),,光友 · 红油面皮香辣味 (4*100g),3.5 CAD,2024-03-02T20:57:34Z,0
,Jelly & Dried Fruits,ShanYuanZe,ShanYuanZe · Big Hawthorn Roll(160g),,膳源泽 · 山楂大圆卷 (160g),1.8 CAD,2023-12-19T00:46:18Z,0
,Cooking Oils & Flour,Arawana,Arawana · Pure Peanut Oil (1.8L),,金龙鱼 · 浓香花生油 (1.8L),N/A,2024-01-24T06:20:53Z,0
,Cakes & Pastries,Le Man Fen,Le Man Fen · Cheese Flavour Layered Bread (179g),,乐满芬 · 奶酪千层面包奶酪芝士味 (179g),2.2 CAD,2024-03-23T11:14:01Z,0
,AVADA - Best Sellers,EB,EB · Ring Roll (96g),,EB · 三秒玲玲卷 (96g),2.4 CAD,2023-12-02T03:45:29Z,0
,Specialty Noodles,KZ,KZ · Chicken Soup Flavor Rice Vermicelli (196g),,凯壮 · 过桥米线土鸡汤味 (196g),1.8 CAD,2024-02-02T04:38:22Z,0
,Bean Curds & Konjac Snacks,LPPZ,LPPZ · Pork Jerky Flavour (200g),,良品铺子 · 猪肉脯原味 (200g),9.0 CAD,2024-03-23T11:27:08Z,0
,Frozen Meat & Seafood,SiWin,SiWin · Sausage (600g),,喜旺 · 台式香肠 (600g),8.8 CAD,2023-12-18T23:34:34Z,0
,AVADA - Best Sellers,SYF,SYF · Soybean Roll (180g),,十月舫 · 响铃卷（180g）,N/A,2023-10-20T23:00:47Z,0
,Chips,ShangHaoJia,ShangHaoJia · Shrimp Flavor Crackers (40g),,上好佳 · 鲜虾条 (40g),1.5 CAD,2024-01-31T16:13:13Z,0
,Soft Drink & Water,Hao Wang Shui,Hao Wang Shui · Peach Juice Soda Beverage (300ml),,好望水 · 望桃花（300ml）,1.8 CAD,2024-01-20T20:47:40Z,1
,hot sauce & chili oil,Lao Gan Ma,Lao Gan Ma · Chicken Flavor Chili Oil (280g),,老干妈 · 风味鸡油辣椒（280g）,N/A,2023-11-04T01:44:18Z,0
,Weekly Special Fruit,Unknown,Hainan Osmanthus Fragrance Lychee By Air. (1LB/Pack),,,N/A,2024-04-12T03:33:00Z,0
,AVADA - Best Sellers,Samyang,Samyang · 2X Spicy Buldak Hot Chicken Ramen (5*140g),,三养 · 双倍辣椒味火鸡面 （5*140g）,N/A,2023-11-07T05:34:23Z,0
,Chips,LDW,LDW · Salted Egg Yolk Tomato & BBQ Flavor Potato Chips (110g),,良町の屋 · 双味原切薯片咸蛋黄烧烤味 (110g),3.8 CAD,2024-01-17T18:05:12Z,2
,vinegar & cooking wine,ShanGuGongLiang,ShanGuGongLiang · ShanXi 3 Year Vinegar (420ml),,,N/A,2023-11-05T23:06:28Z,2
,soy sauce,Lee Kum Kee,Lee Kum Kee · Soy Sauce (500ml),,李锦记 · 鲜味生抽 (500ml),2.17 CAD,2023-11-09T00:17:15Z,2
,Soft Drink & Water,Pepsi,Pepsi · Raw Cola (600ml),,百事 · 生可乐 (600ml),N/A,2024-01-15T14:10:45Z,0
,Specialty Noodles,YuanXian,YuanXian · Sour & Hot Noodles (276g),,袁鲜 · 酸辣粉 (276g),1.8 CAD,2023-12-10T00:58:34Z,0
,Seafood Snacks,JinZai,JinZai · Marinade Flavor Fish(20*12g),,劲仔 · 卤香味小鱼 (20*12g),4.8 CAD,2023-12-09T05:44:24Z,0
,Mushroom & Bamboo,Unknown,Celtuce 1PC (About 300g),,莴笋 1根 (约300g),N/A,2024-01-26T13:23:56Z,0
,AVADA - Best Sellers,Unif,Unif · Tomato&Beef Flavor Tomato King Cup Noodles(128g),,统一 · 茄皇番茄牛肉桶装面 (128g),1.5 CAD,2024-02-07T10:08:43Z,5
,Pork,Unknown,Frozen Pork Belly Slabs Skin On (About 2LB/Pack),,冷冻整块带皮厚切猪腩 (大约2LB/包),17.45 CAD,2024-02-08T16:21:06Z,0
,Cakes & Pastries,Le Man Fen,Le Man Fen · Durian Custard Biscuit (220g),,乐满芬 · 榴莲流心酥 (220g),2.3 CAD,2024-03-23T11:03:57Z,0
,Juice & Coconut Drink,Unif,Unif · Orange Juice Drink (2L),,统一 · 鲜橙多 (2L),3.3 CAD,2024-03-08T10:28:21Z,0
,Rice Balls & Rice Cakes,BaiYuLan,BaiYuLan · Frozen Red Glutinous Rice (200g),,白玉兰 · 血糯八宝饭 (200g),1.3 CAD,2024-02-02T05:55:57Z,3
,Specialty Noodles,BaMan,BaMan · Sichuan Sausage Flavor Hong Kong Style Vermicelli (276g),,霸蛮 · 港式肥汁米线川辣肥肠味(276g),N/A,2024-01-08T00:17:46Z,0
,AVADA - Best Sellers,Little Sheep,Little Sheep · Original Flavor Hot Pot Dipping Sauce (140g),,小肥羊 · 清香味火锅蘸料 (140g),N/A,2024-01-15T14:06:19Z,1
,Buns & Dim Sum,Bi Feng Tang,Bi Feng Tang · Pineapple AssoredBuns (6*20g),,避风塘 · 马拉盏 (6*20g),2.3 CAD,2023-12-27T20:26:52Z,4
,Bean Curds & Konjac Snacks,Pin Pin,Pin Pin · Beef Tendon Flavour (68g),,品品 · 牛板筋烧烤味 (68g),2.7 CAD,2024-03-23T11:54:53Z,0
,other sauce,Chuan Nan,Chuan Nan · Dried Cowpea (330g),,川南 · 下饭脆豇豆 (330g),3.0 CAD,2024-03-08T10:24:50Z,5
,Tea & Herbal Drinks,Watsons,Watsons · Lemon Tea (4*250ml),,屈臣氏 · 碧泉柠檬茶 (4*250ml),2.3 CAD,2024-01-17T20:14:01Z,0
,Jelly & Dried Fruits,ShanYuanZe,ShanYuanZe · Steam Purple Yam Strips (180g),,膳源泽 · 自然倒蒸紫薯条 (180g),2.7 CAD,2024-03-08T06:24:22Z,4
,Self-Heating Meals,Tian Xiao Hua,Tian Xiao Hua · Braised Pork Clay Pot Rice Self-Heating Pot (296g),,田小花 · 台式卤肉煲仔饭自热饭 (296g),4.0 CAD,2023-12-11T20:13:51Z,0
,Tofu & Tofu Products,Dou Lao Lao,Dou Lao Lao · Cantonese Sauce Flavor Frozen Soft Tofu (370g),,"豆腐&豆制品, 豆捞捞 · 广式酱香风味包浆豆腐 (370g)",4.0 CAD,2024-01-13T10:34:31Z,4
,Specialty Noodles,hoo Loong Kan,hoo Loong Kan · Hot And Sour Noodle Soup With Beef Flavor (126g),,小龙坎 · 酸汤肥牛粉 (126g),N/A,2023-11-07T05:35:08Z,3
,Rice Balls & Rice Cakes,San Quan,San Quan · 3 Flavors Rice Balls (300g),,"<span data-mce-fragment=""1"">黑芝麻；草莓；紫薯</span>, 三全 · 玲珑小汤圆 (300g)",3.0 CAD,2023-12-28T23:33:36Z,4
,AVADA - Best Sellers,Master Kong,Master Kong · Pickled Pepper Beef Big Instant Noodle (5*148g),,康师傅 · 大食袋泡椒牛肉面 (5*148g),5.0 CAD,2023-12-27T19:55:03Z,0
,AVADA - Best Sellers,Wu Jiang,Wu Jiang · Sauce Preserved Pickle (4*80g),,乌江 · 榨菜酱香 (4*80g),2.0 CAD,2024-01-27T16:53:51Z,1
,Specialty Noodles,Kuai Lai Kuai Wang,Kuai Lai Kuai Wang · Shanghai Yangchun Dry Noodles (4lb),,筷来筷往 · 上海阳春面家庭装 (4lb),4.0 CAD,2024-03-23T09:19:21Z,2
,AVADA - Best Sellers,Haday,Haday · Soybean Paste (800g),,海天 · 黄豆酱 (800g),4.0 CAD,2024-01-31T08:30:39Z,5
,Weekly Special,Shuang Hui,Shuang Hui · Shredded Pork Sauce Flavor Noodles (213g+50g),,"Expired Date: 2024-06, 双汇 · 酱香肉丝拌面 (213g+50g)",4.5 CAD,2023-12-08T03:13:32Z,0
,Milk Flavoured Drinks,Binggrae,Binggrae · Melon Milk Drink (6*200ml),,宾格瑞 · 蜜瓜味牛奶（6*200ml）,N/A,2024-01-21T01:22:43Z,0
,vinegar & cooking wine,Heng Shun,Heng Shun · Six Years Vinegar (580ml),,恒顺 · 六年香醋 (580ml),6.5 CAD,2024-01-31T08:26:19Z,3
,Soft Drink & Water,Zhen Zhen,Zhen Zhen · Lychee Soft Drink (6*330ml),,珍珍 · 荔枝味饮料 (6*330ml),5.5 CAD,2023-11-15T21:15:17Z,0
,Buns & Dim Sum,San Quan,San Quan · Frozen Red Bean Bun (360g),,三全 · 豆沙包 (360g),2.1 CAD,2024-02-02T06:26:20Z,0
,Weekly Special Fruit,Unknown,Kradum Thong Durian By Air. $14.5/LB (About 3.5LB),,,N/A,2024-04-12T03:26:26Z,5
,Rice Crackers,XunTangJi,XunTangJi · Corn Soup Rice Crust(80g),,寻唐记 · 玉米浓汤味锅巴 (80g),N/A,2023-11-07T06:51:26Z,5
,hotpot collection,Haidilao,Haidilao · Shacha Flavor Hotpot Dipping Sauce (80g),,海底捞 · 火锅底料沙茶酱 (80g),N/A,2023-11-04T01:44:47Z,2
,Weekly Special Fruit,Unknown,Japan Luna Piena Watermelon By Air (1 Melon/Pack),,,N/A,2024-04-20T05:50:54Z,0
,Coffee & Milk Tea,The Alley,The Alley · Sauce-Flavored Milk Latte (125g),,鹿角巷 · 酱香拿铁 (125g),2.0 CAD,2023-12-11T21:16:19Z,0
,Tea & Herbal Drinks,Itoen,Itoen · Unsweetened Hojicha Roasted Green Tea (500ml),,伊藤园 · 天然无糖烘茶 (500ml) ,N/A,2023-11-03T00:21:01Z,2
,Rice & Bean,YunXiangGuDao,YunXiangGuDao · Premium Northeast Round Rice (6KG),,云乡古稻 · 东北圆米 (6KG),13.5 CAD,2024-01-24T06:29:47Z,5
,Juice & Coconut Drink,Coconut Palm,Coconut Palm · Coconut Milks (1L),,椰树牌 · 盒装椰汁（1L）,N/A,2023-12-27T20:44:54Z,0
,Biscuits & Cookies,3+2,3+2 · Filling Sandwich Cracker Series (400g),,,N/A,2024-02-04T08:19:35Z,1
,Cakes & Pastries,Jin Shun Xiang,Jin Shun Xiang · Assorted Fried Dough Twist (400g),,津顺祥 · 天津麻花什锦味 (400g),3.0 CAD,2024-01-11T01:54:31Z,1
,Self-Heating Meals,HaiDiLao,HaiDiLao · Spicy Pork Self-Heating Hot Pot (275g),,海底捞 · 麻辣小酥肉自煮火锅套餐 (275g),6.5 CAD,2024-02-06T02:33:41Z,0
,Frozen Meat & Seafood,Viva Sea,Viva Sea · Basa Fillet (3LB),,Viva Sea · 越南巴沙鱼柳 (3LB),4.5 CAD,2024-02-14T04:02:14Z,1
,Frozen Meat & Seafood,Anjoy,Anjoy · Fish Roe Bag (240g),,安井 · 锁鲜装鱼籽包 (240g),3.7 CAD,2023-12-27T20:04:41Z,0
,Self-Heating Meals,Tian Xian Hua,Tian Xian Hua · Braised Chicken Flavor Clay Pot Self-Heating Hot Pot (294g),,田小花 · 黄焖鸡味鲜蔬自热小火锅(294g),4.0 CAD,2023-12-11T19:43:06Z,2
,Onion & Garlic & Ginger,Unknown,Ginger 300g,,新鲜生姜 (300g),N/A,2023-11-09T02:22:28Z,4
,Specialty Noodles,BaMan,BaMan · Beef Tomato Flavor Hong Kong Style Vermicelli (297g),,霸蛮 · 港式肥汁米线番茄牛肉口味 (270g),3.0 CAD,2024-01-08T00:02:28Z,0
,Weekly Special Fruit,Unknown,Star Fruit From Vietnam By Air (2 Fruits/Pack),,,N/A,2024-04-12T03:43:46Z,2
,salt & sugar & pepper,Seasoning Gallery,Seasoning Gallery · Natural Sea Salt Coarse (400g),,鲜味坊 · 粗粒海盐 (400g),N/A,2023-11-04T01:44:54Z,5
,Bean Curds & Konjac Snacks,Wei Long,Wei Long · Braised Beef Flavor Kiss Burns(260g),,卫龙 · 红烧牛肉味亲嘴烧 (260g),3.0 CAD,2023-12-27T19:57:33Z,0
,Green Leaf,Unknown,A Choy 1LB,,特靓A菜 (大约2磅),N/A,2023-11-04T18:07:29Z,0
,Green Leaf,Unknown,Yu Choy Miu (1LB),,油菜苗 (大约2磅),N/A,2023-11-14T19:34:04Z,0
,Nuts & Seeds & Peanuts,BSCZ,BSCZ · Panda Pickled Bamboo Shoot (300g),,巴食川珍 · 8秒脆熊猫青细笋 (300g),2.3 CAD,2024-03-15T04:36:45Z,0
,Tea & Herbal Drinks,Suntory,Suntory · Oolong Tea (1.25L),,三得利 · 乌龙茶（1.25L）,3.0 CAD,2023-11-03T00:20:48Z,0
,AVADA - Best Sellers,CBL,CBL · Sweet Bean Paste (800g),,葱伴侣 · 甜面酱 (800g),3.5 CAD,2023-12-27T20:33:06Z,4
,Specialty Noodles,CLJ,CLJ · Black Duck Neck Flavor Hot Noodles With Sesame Paste (675g),,蔡林记 · 黑鸭脖味热干面 (675g),5.5 CAD,2024-02-01T03:45:15Z,5
,Cooking Oils & Flour,Arawana,Arawana · Corn Oil (1.8L),,金龙鱼 · 玉米胚芽油 (1.8L),9.0 CAD,2024-02-21T19:33:30Z,3
,Dumplings & Wontons,EB,EB · Tomyam Soup Flavor Frozen Shrimp Wonton (100g),,EB · 冬阴功味碗装鲜虾云吞 (100g),3.3 CAD,2023-12-16T04:41:30Z,4
,Rice Balls & Rice Cakes,Lovely Uncle,Lovely Uncle · Classic Flavor Frozen Fried Dough Twist (150g),,肥叔 · 油条糍粑经典原味 (150g),2.3 CAD,2024-02-07T09:50:06Z,0
,AVADA - Best Sellers,JC Brand,JC Brand · Chili Fermented Bean Curd (1.2kg),,鹃城牌 · 红油郫县豆瓣酱（500g）,N/A,2023-11-04T01:44:33Z,3
,Bean Curds & Konjac Snacks,Wei Long,Wei Long · Spicy Chicken Flavor Kiss Burns(260g),,卫龙 · 麦辣鸡汁味亲嘴烧 (260),3.2 CAD,2023-11-07T06:51:01Z,0
,Tea & Herbal Drinks,Itoen,Itoen · Peach Black Tea (500ml),,伊藤园 · 蜜桃红茶 (500ml),N/A,2023-12-12T22:18:24Z,0
,seafood sauce,Lee Kum Kee,Lee Kum Kee · Panda Brand Oyster Sauce (510ml),,李锦记 · 熊猫蚝油（510g）,N/A,2024-02-16T19:48:57Z,1
,Weekly Special,Eastern Leaves,Eastern Leaves · Black Tea (500ml),,东方树叶 · 红茶（500ml）,1.35 CAD,2023-12-10T05:01:48Z,0
,Buns & Dim Sum,QWYC,QWYC · Salted Egg Yolk Filling Frozen Fried Dough Twsit (252g),,,5.3 CAD,2024-03-08T09:50:28Z,5
,Bean Curds & Konjac Snacks,JinZai,JinZai · BBQ Flavor Vegetarian Steak Spicy(20*20g),,劲仔 · 烧烤味大非力素牛排 (20*20g),4.8 CAD,2023-12-09T06:05:54Z,2
,Nuts & Seeds & Peanuts,Xi Gui Zi,Xi Gui Zi · Sweet Chestnut (220g),,喜桂子 · 油栗仁 (220g),3.0 CAD,2024-03-15T03:32:34Z,1
,Specialty Noodles,Assi,Assi · Korean Sweet Potato Noodles (680g),,Assi · 韩国红薯粉丝 (680g),N/A,2023-12-27T20:16:44Z,1
,Bean Curds & Konjac Snacks,LPPZ,LPPZ · Duck Tongue Flavour (120g),,良品铺子 · 大鸭舌甜辣味 (120g),7.0 CAD,2024-03-23T11:30:03Z,0
,Tea & Herbal Drinks,Suntory,Suntory · Passion Fruit & Grapefruit Green Tea (500ml),,三得利 · 百香果西柚味果瀑茶（500ml）,1.35 CAD,2023-11-03T00:20:52Z,0
,Meat,Unknown,Frozen Beef Ribs Cut In Cubes (1LB/Pack),,冷冻切块牛排骨 (1LB/Pack),8.99 CAD,2024-01-21T22:59:38Z,5
,Bean Curds & Konjac Snacks,WXZ,WXZ · Spicy Flavor Bean Curd Strips (100g),,五贤斋 · 香辣素板筋 (100g),1.5 CAD,2024-02-02T04:54:17Z,2
,Coffee & Milk Tea,The Alley,The Alley · Strong Aroma Milk Tea (125g),, 鹿角巷 · 浓香型奶茶 (125g),2.0 CAD,2023-12-11T21:02:11Z,5
,AVADA - Best Sellers,Master Kong,Master Kong · Japanese Pork Bone Instant Noodle (5*115g),,"方便面, 康师傅 · 日式豚骨面量贩装 (5*115g)",5.0 CAD,2024-01-09T08:47:00Z,0
,Tofu & Tofu Products,Sunrise,Sunrise · Premium Soft Tofu (530g),,日升 · 软豆腐 (530g),1.72 CAD,2023-11-07T03:23:04Z,3
,Weekly Special Fruit,Unknown,Premium Black Grapes 1 Bag/About 2LB,,,N/A,2024-03-25T23:51:22Z,0
,Rice & Bean,YYH,YYH · ShanXi Black Rice (750g),,月月红 · 陕西西洋黑米 (750g),3.3 CAD,2024-01-27T01:06:46Z,3
,Tea & Herbal Drinks,Master Kong,Master Kong · Peach Oolong Tea (500ml),,康师傅 · 蜜桃乌龙茶 (500ml),0.8 CAD,2023-12-27T19:51:02Z,1
,Frozen Meat & Seafood,Anjoy,Anjoy · Fish Ball (200g),,安井 · 锁鲜装嫩鱼丸 (200g),3.0 CAD,2023-12-27T20:04:27Z,2
,hotpot collection,Little Sheep,Little Sheep · Mushroom Hotpot Soup Base (140g),,小肥羊 · 鲜美菌汤火锅底料 (140g),N/A,2023-11-05T22:36:38Z,4
,Chips,Lay’s,Lay’s · Spicy Flavor Big Wave Potato Chips (70g),,乐事 · 大波浪薯片辛辣味 (70g),1.3 CAD,2024-02-23T04:30:25Z,0
,Weekly Special,Eastern Leaves,Eastern Leaves · Green Tea (500ml),,东方树叶 · 绿茶（500ml）,1.3 CAD,2023-12-27T21:03:58Z,0
,Other Veggies,HeCheng,HeCheng · Frozen Soy Bean Seeds (400g),,和诚 · 冷冻毛豆仁 (400g),1.8 CAD,2024-01-06T07:45:31Z,0
,Specialty Noodles,KZ,KZ · Spicy Beef Soup Flavor Rice Vermicelli (195g),,凯壮 · 过桥米线香辣牛肉汤味 (195g),1.8 CAD,2024-02-02T04:27:15Z,4
,Tofu & Tofu Products,ZhangXiaoBao,ZhangXiaoBao · Frozen Tofu Cake (500g),,张小包 · 素鸡 (500g),2.9 CAD,2024-01-06T04:32:59Z,0
,Weekly Special,Master Kong,Master Kong · Big Eat Bag Spicy Beef Noodles with Pickled Peppers (5*148g),,,5.0 CAD,2023-12-18T23:04:50Z,0
,Beef,Unknown,Frozen Beef Marrow Bone (1LB/Pack),,冷冻牛骨(含骨髓) (约1LB/份),6.78 CAD,2024-01-07T06:11:21Z,4
,Bean Curds & Konjac Snacks,LPPZ,LPPZ · Beef Jerky Flavour (80g),,良品铺子 · 牛肉干五香味 (80g),7.0 CAD,2024-03-23T11:38:23Z,0
,Specialty Noodles,HRBL,HRBL · Mushroom Flavor Fast Food Vermicelli (155g),,嘿人部落 · 关东煮速食粉丝菌菇味 (155g),2.5 CAD,2024-02-09T06:28:59Z,2
,Weekly Special,Unknown,Chun Kang ·Tribute Vegetables (280g),,淳康 · 香脆贡菜 (280g),2.0 CAD,2023-12-27T20:42:43Z,0
,Buns & Dim Sum,San Quan,San Quan · Osmathus Steamed Sponge Cakes (360g),,三全 · 桂花方糕 (360g),4.8 CAD,2023-12-30T05:30:36Z,4
,Jelly & Dried Fruits,Qi Fen Jian,Qi Fen Jian · Preserved Dried Plum (468g),,七分饯 · 韩话梅 (468g),4.3 CAD,2024-03-23T10:23:33Z,0
,Specialty Noodles,Baijia,Baijia · Wuhan Hot Dry Noodles (272g),,白家 · 武汉热干面 (272g),2.6 CAD,2023-12-09T08:50:05Z,0
,AVADA - Best Sellers,Master Kong,Master Kong · Soup Master Stewed Chicken With Wolfberry Fish Maw Instant Noodles (5*110g),,"方便面 , 康师傅 · 汤大师枸杞花胶炖鸡面 (5*110g)",6.0 CAD,2024-01-09T08:27:47Z,4
,Soy Milk & Yogurt,Yong Xing,Yong Xing · Sweetened Soy Milk (2L),,永兴 · 甜豆奶 (2L),2.3 CAD,2024-01-23T22:23:23Z,5
,AVADA - Best Sellers,Wo Long,Wo Long · Spicy Kitty Cracker (138g),,卧龙 · 五香味猫耳朵 (138g),2.0 CAD,2024-03-08T17:36:52Z,0
,Dumplings & Wontons,San Quan,San Quan · Frozen Fish & Chinese Spinach Wonton (252g),,三全 · 鲜食荠菜鱼肉馄饨 (252g),3.0 CAD,2024-03-23T09:04:39Z,0
